Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine,Unnamed: 6,Unnamed: 7,Unnamed: 8,30
usq,-35.6264953613281,-34.1777076721191,4.79999303817749,-4.22386264801025,3032473036,,,,
usq,-33.9626388549804,-33.1405448913574,4.68565225601196,-4.51906871795654,3032489703,,,,
usq,-32.3277854919433,-31.7796039581298,3.52233266830444,-4.95650386810302,3032506370,,,,
usq,-30.6706047058105,-29.9687900543212,2.75435447692871,-5.25734949111938,3032523037,,,,
usq,-29.2354774475097,-27.791425704956,2.28134417533874,-5.47080183029174,3032539704,,,,
usq,-28.0862579345703,-25.6475105285644,1.92683899402618,-5.53431034088134,3032556371,,,,
usq,-27.0434913635253,-24.0146446228027,2.04768896102905,-5.26042175292968,3032573038,,,,
usq,-25.8871231079101,-22.8835315704345,2.13272213935852,-4.83789873123168,3032589705,,,,
usq,-24.6232261657714,-21.8285465240478,1.88222801685333,-4.52958536148071,3032606372,,,,
usq,-23.1732368469238,-20.5829105377197,1.99223697185516,-4.32273340225219,3032623039,,,,
usq,-21.6385307312011,-19.158462524414,2.06052923202514,-4.20374298095703,3032639706,,,,
usq,-20.1487617492675,-17.7090148925781,2.49170446395874,-4.05378341674804,3032656373,,,,
usq,-18.872200012207,-16.4697723388671,3.22712469100952,-3.81122255325317,3032673040,,,,
usq,-17.9819641113281,-15.5713529586792,3.53724861145019,-3.4116027355194,3032689707,,,,
usq,-17.443000793457,-14.9007062911987,3.55121493339538,-3.08435678482055,3032706374,,,,
usq,-16.9344635009765,-14.2821254730224,3.26844263076782,-2.97943592071533,3032723041,,,,
usq,-16.2223014831543,-13.6378688812255,2.92156934738159,-3.28439879417419,3032739708,,,,
usq,-15.3849411010742,-13.0882701873779,2.95884370803833,-3.4611268043518,3032756375,,,,
usq,-14.6768646240234,-12.7286529541015,2.88028001785278,-3.44671821594238,3032773042,,,,
usq,-14.3030014038085,-12.5794658660888,2.72967863082885,-3.44842386245727,3032789709,,,,
usq,-14.2979507446289,-12.6286506652832,2.96937870979309,-3.61371779441833,3032806376,,,,
usq,-14.5644912719726,-12.895673751831,2.98613476753234,-4.21632003784179,3032823043,,,,
usq,-15.0672264099121,-13.3571586608886,2.89006042480468,-4.69133186340332,3032839710,,,,
usq,-15.6672172546386,-13.8883371353149,2.90098738670349,-4.85854721069335,3032856377,,,,
usq,-16.1011924743652,-14.3658618927001,2.81065726280212,-4.61393928527832,3032873044,,,,
usq,-16.24116897583,-14.9017257690429,2.97193908691406,-4.26219034194946,3032889711,,,,
usq,-16.2114906311035,-15.61376953125,3.1729712486267,-4.02875852584838,3032906378,,,,
usq,-16.2532691955566,-16.4423503875732,3.35075783729553,-3.69506406784057,3032923045,,,,
usq,-16.4701881408691,-17.23974609375,3.35299468040466,-3.47480058670043,3032939712,,,,
usq,-16.8460693359375,-18.044937133789,3.18089818954467,-3.32292985916137,3032956379,,,,
usq,-17.3863067626953,-18.8729877471923,2.89941692352294,-3.12125611305236,3032973046,,,,
usq,-18.05126953125,-19.8079795837402,2.55023121833801,-3.14458847045898,3032989713,,,,
usq,-18.7202186584472,-20.8880634307861,2.38806438446044,-3.27421355247497,3033006380,,,,
usq,-19.3698959350585,-22.1416664123535,2.4697630405426,-3.65702247619628,3033023047,,,,
usq,-20.0381240844726,-23.4884223937988,2.55670237541198,-4.22925806045532,3033039714,,,,
usq,-20.7875175476074,-24.8190040588378,2.74251532554626,-4.58985805511474,3033056381,,,,
usq,-21.6044616699218,-26.0938339233398,2.98710942268371,-4.87731027603149,3033073048,,,,
usq,-22.4885902404785,-27.3632507324218,3.19370102882385,-5.0667290687561,3033089715,,,,
usq,-23.4458122253418,-28.6559181213378,3.14847636222839,-4.94311571121215,3033106382,,,,
usq,-24.6896209716796,-29.9947872161865,3.05396509170532,-4.90888404846191,3033123049,,,,
usq,-26.2440719604492,-31.3309726715087,2.99948549270629,-4.68784141540527,3033139716,,,,
usq,-27.8601989746093,-32.5670661926269,2.90998172760009,-4.48204040527343,3033156383,,,,
usq,-29.2866706848144,-33.753604888916,2.71102547645568,-4.14576816558837,3033173050,,,,
usq,-30.5573196411132,-35.0044593811035,2.73262643814086,-4.50945949554443,3033189717,,,,
usq,-31.7820816040039,-36.4514770507812,2.73668885231018,-4.27817440032959,3033206384,,,,
usq,-33.0841484069824,-38.0931396484375,2.55767941474914,-4.40006113052368,3033223051,,,,
