Unnamed: 0,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
lift,-59.06640244,-64.64131927,-46.54654312,-41.54935455,2092721921
lift,-58.44430923,-64.17059326,-28.88601875,-29.6765995,2092738588
lift,-57.82949829,-63.92670441,-30.56190109,-17.32139015,2092755255
lift,-57.31149673,-63.48701096,-34.44437027,-29.73371315,2092771922
lift,-56.81222153,-62.70565796,-37.73326492,-48.38221741,2092788589
lift,-56.36418152,-61.86704636,-34.0661087,-54.32767868,2092805256
lift,-55.88561249,-61.04527283,-31.38916969,-52.90761185,2092821923
lift,-55.21969223,-60.46056747,-37.76105499,-38.31961441,2092838590
lift,-54.42935181,-59.95472336,-38.33852005,-34.68328094,2092855257
lift,-53.64869308,-59.45668793,-33.3451004,-36.55804443,2092871924
lift,-52.93157196,-58.86565781,-36.23928833,-40.59056091,2092888591
lift,-52.43326187,-58.21948242,-33.45025635,-43.11247635,2092905258
lift,-52.12063599,-57.69454575,-25.26457787,-37.12081528,2092921925
lift,-51.85026932,-57.2665596,-22.51995468,-32.58475494,2092938592
lift,-51.56203461,-56.8860817,-22.46200752,-31.05455589,2092955259
lift,-51.29514313,-56.4355011,-19.82804298,-36.97234726,2092971926
lift,-51.00346756,-55.96006012,-21.91180611,-39.65315628,2092988593
lift,-50.61198044,-55.46694946,-26.93465996,-40.50040817,2093005260
lift,-50.28836441,-54.9382782,-22.13825989,-41.8746376,2093021927
lift,-50.02007294,-54.40266418,-18.08063507,-41.83689499,2093038594
lift,-49.46311569,-53.87812805,-32.59614944,-40.87028885,2093055261
lift,-48.94061279,-53.43580627,-31.21539307,-34.98836517,2093071928
lift,-48.53362274,-53.00981903,-27.3635273,-33.45975876,2093088595
lift,-48.10906982,-52.55851746,-30.666996,-34.0317421,2093105262
lift,-47.71046829,-52.01300812,-30.38366318,-37.33911133,2093121929
lift,-47.36538315,-51.347332,-26.27871323,-42.02771378,2093138596
lift,-46.86001205,-50.57498169,-34.75519562,-46.69556046,2093155263
lift,-46.43532562,-49.76693344,-27.67772484,-48.63362503,2093171930
lift,-45.99993896,-48.99494934,-28.61493874,-46.7675705,2093188597
lift,-45.5786438,-48.27635956,-26.83599472,-43.63288116,2093205264
lift,-45.15136719,-47.62189484,-25.85982704,-39.39116287,2093221931
lift,-44.75925446,-47.05853653,-22.4315815,-32.64352036,2093238598
lift,-44.43668365,-46.57066345,-15.22417641,-28.25293541,2093255265
lift,-44.08800888,-46.18582916,-14.02600193,-22.53745079,2093271932
lift,-43.72472382,-45.86214828,-12.97077751,-19.03839493,2093288599
lift,-43.37888336,-45.56644821,-11.22900391,-16.10908699,2093305266
lift,-43.07950592,-45.18333817,-9.657996178,-20.1200676,2093321933
lift,-42.79263306,-44.78648758,-11.12424088,-21.18911362,2093338600
lift,-42.49207306,-44.50194931,-13.49686432,-17.07805252,2093355267
lift,-42.2272644,-44.32187271,-12.63986778,-12.78818607,2093371934
lift,-42.02515793,-44.22076416,-9.828355789,-8.347860336,2093388601
lift,-41.85194016,-44.09567642,-7.984124184,-8.640669823,2093405268
lift,-41.7003746,-43.91562271,-6.953224182,-10.97228622,2093421935
lift,-41.561409,-43.69844437,-7.302735806,-12.11157608,2093438602
lift,-41.46054459,-43.50013733,-6.720830441,-10.65970612,2093455269
lift,-41.45127106,-43.34827042,-4.012849808,-7.513257027,2093471936
lift,-41.50763321,-43.20951843,-2.766291618,-6.357956409,2093488603
lift,-41.60319138,-43.14221573,-2.215861082,-2.25882268,2093505270
lift,-41.70875931,-43.09905243,-1.958722234,-0.825843215,2093521937
lift,-41.8155098,-43.1359024,-1.265974045,4.649867535,2093538604
lift,-41.89563751,-43.27259064,-1.486165762,11.76040554,2093555271
lift,-41.96747208,-43.39961624,-0.018159414,12.26579189,2093571938
lift,-42.01616287,-43.60123062,0.656050086,17.19952583,2093588605
lift,-42.03012085,-43.76586151,1.146187663,15.70048809,2093605272
lift,-42.0112381,-43.85150146,2.725762367,11.69142628,2093621939
lift,-41.9654007,-43.90624619,4.750336647,9.945064545,2093638606
lift,-41.92758179,-43.93377686,8.257863998,8.38706398,2093655273
